U+370A	㜊	nvzhan
U+370B	㜋	nvyi
U+370C	㜌	kenv
U+370D	㜍	nvtang
U+370E	㜎	nvxi
U+370F	㜏	nvyuan
U+3710	㜐	nvqi
U+3711	㜑	punv
U+3712	㜒	nvcao
U+3713	㜓	nvda
U+3714	㜔	nvjing
U+3715	㜕	nvlian
U+3716	㜖	nvcao
U+3717	㜗	nvcan
U+3718	㜘	nvqie
U+3719	㜙	nvlu
U+371A	㜚	nvsu
U+371B	㜛	nvruan
U+371C	㜜	nvao
U+371D	㜝	nvyou
U+371E	㜞	zhannv
U+371F	㜟	nvgan
U+3720	㜠	nvcui
U+3721	㜡	nvcong
U+3722	㜢	nvlou
U+3723	㜣	nvran
U+3724	㜤	nvtan
U+3725	㜥	nvmai
U+3726	㜦	nvxun
U+3727	㜧	nvjue
U+3728	㜨	nvxi
U+3729	㜩	nvao
U+372A	㜪	xinnv
U+372B	㜫	nvwei
U+372C	㜬	nvzhan
U+372D	㜭	nvdang
U+372E	㜮	nvjian
U+372F	㜯	nvxi
U+3730	㜰	nvle
U+3731	㜱	nvzhi
U+3732	㜲	nvying
U+3733	㜳	nvhuai
U+3734	㜴	nvmeng
U+3735	㜵	nvma
U+3736	㜶	nvtu
U+3737	㜷	minv
U+3738	㜸	xuenv
U+3739	㜹	nvqu
U+373A	㜺	nvzan
U+373B	㜻	nvlian
U+373C	㜼	nvdie
U+373D	㜽	chuanzi
U+373E	㜾	zijie
U+373F	㜿	ziyu
U+3740	㝀	muzi
U+3741	㝁	xunzi
U+3742	㝂	zizhe
U+3743	㝃	zimian
U+3744	㝄	xiangtun
U+3745	㝅	kezi
U+3746	㝆	zixi
U+3747	㝇	xiangxiang
U+3748	㝈	luanzi
U+3749	㝉	gaiheng
U+374A	㝊	gaiyou
U+374B	㝋	gailiao
U+374C	㝌	gaijiu
U+374D	㝍	gaiyu
U+374E	㝎	gaizhi
U+374F	㝏	gaijie
U+3750	㝐	gaigong
U+3751	㝑	gaifang
U+3752	㝒	gaigu
U+3753	㝓	gaihe
U+3754	㝔	gaijiao
U+3755	㝕	gaiyou
U+3756	㝖	gaiduo
U+3757	㝗	gailiang
U+3758	㝘	gaiyan
U+3759	㝙	gaiba
U+375A	㝚	gaiyan
U+375B	㝛	gaikou
U+375C	㝜	gaixi
U+375D	㝝	gailin
U+375E	㝞	gaiya
U+375F	㝟	gaijian
U+3760	㝠	gailiu
U+3761	㝡	gaiqu
U+3762	㝢	gaiyu
U+3763	㝣	gaiqi
U+3764	㝤	gaigou
U+3765	㝥	gaimi
U+3766	㝦	gaijuan
U+3767	㝧	anzuo
U+3768	㝨	gaiyuan
U+3769	㝩	gaikang
U+376A	㝪	gaizhi
U+376B	㝫	gailong
U+376C	㝬	haifu
U+376D	㝭	gaixing
U+376E	㝮	gaiyou
U+376F	㝯	gaiqiao
U+3770	㝰	gaifang
U+3771	㝱	gaimeng
U+3772	㝲	gaizhou
U+3773	㝳	mudian
U+3774	㝴	yuancun
U+3775	㝵	dancun
U+3776	㝶	sicun
U+3777	㝷	jicun
U+3778	㝸	xiaomao
U+3779	㝹	shaotu
U+377A	㝺	jianshao
U+377B	㝻	jinshao
U+377C	㝼	youyu
U+377D	㝽	youshui
U+377E	㝾	youzuo
U+377F	㝿	youpi
U+3780	㞀	youhui
