U+302DB	𰋛	dachang
U+302DC	𰋜	dacha
U+302DD	𰋝	juda
U+302DE	𰋞	dazheng
U+302DF	𰋟	tiantian
U+302E0	𰋠	chuntun
U+302E1	𰋡	tianfan
U+302E2	𰋢	danan
U+302E3	𰋣	shishi
U+302E4	𰋤	dapu
U+302E5	𰋥	lida
U+302E6	𰋦	jiaji
U+302E7	𰋧	huoda
U+302E8	𰋨	poda
U+302E9	𰋩	tiantian
U+302EA	𰋪	tianla
U+302EB	𰋫	duda
U+302EC	𰋬	gutou
U+302ED	𰋭	tianxing
U+302EE	𰋮	tianyi
U+302EF	𰋯	tianpang
U+302F0	𰋰	touze
U+302F1	𰋱	datou
U+302F2	𰋲	daping
U+302F3	𰋳	dadie
U+302F4	𰋴	xixi
U+302F5	𰋵	nvdian
U+302F6	𰋶	nvli
U+302F7	𰋷	xiaonv
U+302F8	𰋸	nvyang
U+302F9	𰋹	nvzhuan
U+302FA	𰋺	nvhuo
U+302FB	𰋻	nvshi
U+302FC	𰋼	nvyou
U+302FD	𰋽	yannv
U+302FE	𰋾	nvbi
U+302FF	𰋿	nvbai
U+30300	𰌀	yingnv
U+30301	𰌁	nvji
U+30302	𰌂	nvzhen
U+30303	𰌃	nvqi
U+30304	𰌄	nvda
U+30305	𰌅	banv
U+30306	𰌆	zhannv
U+30307	𰌇	nvze
U+30308	𰌈	nvzhi
U+30309	𰌉	nvmian
U+3030A	𰌊	nvji
U+3030B	𰌋	nvmen
U+3030C	𰌌	jinv
U+3030D	𰌍	nvyang
U+3030E	𰌎	nvtai
U+3030F	𰌏	nvgu
U+30310	𰌐	nvcao
U+30311	𰌑	bunv
U+30312	𰌒	nvxin
U+30313	𰌓	nainao
U+30314	𰌔	nvliao
U+30315	𰌕	louju
U+30316	𰌖	nvmin
U+30317	𰌗	haomei
U+30318	𰌘	gunv
U+30319	𰌙	nvlai
U+3031A	𰌚	chunv
U+3031B	𰌛	nvmian
U+3031C	𰌜	zicai
U+3031D	𰌝	zituo
U+3031E	𰌞	erzi
U+3031F	𰌟	ziyun
U+30320	𰌠	zizhi
U+30321	𰌡	zipu
U+30322	𰌢	zichou
U+30323	𰌣	zishi
U+30324	𰌤	ziling
U+30325	𰌥	zining
U+30326	𰌦	ziya
U+30327	𰌧	zier
U+30328	𰌨	zixiao
U+30329	𰌩	laizi
U+3032A	𰌪	ziqi
U+3032B	𰌫	zinai
U+3032C	𰌬	zimao
U+3032D	𰌭	ziyan
U+3032E	𰌮	shansun
U+3032F	𰌯	zilei
U+30330	𰌰	guanxue
U+30331	𰌱	shizi
U+30332	𰌲	xiaodao
U+30333	𰌳	gaiyi
U+30334	𰌴	gaisan
U+30335	𰌵	gaicha
U+30336	𰌶	gaibu
U+30337	𰌷	gaiwei
U+30338	𰌸	gaiyin
U+30339	𰌹	gaihui
U+3033A	𰌺	gaikou
U+3033B	𰌻	gaizai
U+3033C	𰌼	gaibai
U+3033D	𰌽	gairu
U+3033E	𰌾	gaizhi
U+3033F	𰌿	gaijing
U+30340	𰍀	gaizhu
U+30341	𰍁	wanniu
U+30342	𰍂	gaishu
U+30343	𰍃	gaier
U+30344	𰍄	gaifu
U+30345	𰍅	gaiqu
U+30346	𰍆	gairan
U+30347	𰍇	gaimou
U+30348	𰍈	gaishu
U+30349	𰍉	gailiao
U+3034A	𰍊	gairuo
U+3034B	𰍋	gaixin
U+3034C	𰍌	gaihong
U+3034D	𰍍	gaiqia
U+3034E	𰍎	qingding
U+3034F	𰍏	gaiyuan
U+30350	𰍐	gaishan
U+30351	𰍑	wansha
U+30352	𰍒	gaimu
U+30353	𰍓	gaixiao
U+30354	𰍔	gaigao
U+30355	𰍕	gaipu
U+30356	𰍖	gaiyan
U+30357	𰍗	gaimu
U+30358	𰍘	gaizhuo
U+30359	𰍙	gaiyou
U+3035A	𰍚	anluo
U+3035B	𰍛	keguan
U+3035C	𰍜	gaiji
U+3035D	𰍝	gaixiao
U+3035E	𰍞	gaiwen
