U+2A8D3	𪣓	tutuo
U+2A8D4	𪣔	tuwu
U+2A8D5	𪣕	tuke
U+2A8D6	𪣖	mutu
U+2A8D7	𪣗	chentu
U+2A8D8	𪣘	tuwu
U+2A8D9	𪣙	turi
U+2A8DA	𪣚	tunv
U+2A8DB	𪣛	tuli
U+2A8DC	𪣜	tuxiu
U+2A8DD	𪣝	tuzao
U+2A8DE	𪣞	tuqi
U+2A8DF	𪣟	tuhan
U+2A8E0	𪣠	tulin
U+2A8E1	𪣡	wotu
U+2A8E2	𪣢	tuwen
U+2A8E3	𪣣	tujun
U+2A8E4	𪣤	tuxi
U+2A8E5	𪣥	tuwu
U+2A8E6	𪣦	tuming
U+2A8E7	𪣧	tuchang
U+2A8E8	𪣨	tugan
U+2A8E9	𪣩	tuken
U+2A8EA	𪣪	yuetu
U+2A8EB	𪣫	tuke
U+2A8EC	𪣬	tuguan
U+2A8ED	𪣭	botu
U+2A8EE	𪣮	tuni
U+2A8EF	𪣯	tuyi
U+2A8F0	𪣰	tucao
U+2A8F1	𪣱	lage
U+2A8F2	𪣲	tumiao
U+2A8F3	𪣳	tucun
U+2A8F4	𪣴	tuzheng
U+2A8F5	𪣵	tubei
U+2A8F6	𪣶	xutu
U+2A8F7	𪣷	tuhuan
U+2A8F8	𪣸	xutu
U+2A8F9	𪣹	tuting
U+2A8FA	𪣺	tuqia
U+2A8FB	𪣻	tulou
U+2A8FC	𪣼	tuyi
U+2A8FD	𪣽	shengbo
U+2A8FE	𪣾	tuneng
U+2A8FF	𪣿	ertu
U+2A900	𪤀	chentu
U+2A901	𪤁	tucun
U+2A902	𪤂	tumin
U+2A903	𪤃	tuyan
U+2A904	𪤄	tuba
U+2A905	𪤅	tudang
U+2A906	𪤆	tushan
U+2A907	𪤇	tucang
U+2A908	𪤈	bantu
U+2A909	𪤉	tushui
U+2A90A	𪤊	langtu
U+2A90B	𪤋	tuli
U+2A90C	𪤌	tusang
U+2A90D	𪤍	tuzhan
U+2A90E	𪤎	tulian
U+2A90F	𪤏	tuji
U+2A910	𪤐	tujin
U+2A911	𪤑	tuguo
U+2A912	𪤒	tuhe
U+2A913	𪤓	tumin
U+2A914	𪤔	tufu
U+2A915	𪤕	tuchan
U+2A916	𪤖	tujiang
U+2A917	𪤗	tuliu
