U+2BB24	𫬤	kouni
U+2BB25	𫬥	kousu
U+2BB26	𫬦	koushou
U+2BB27	𫬧	koushai
U+2BB28	𫬨	koufou
U+2BB29	𫬩	shangben
U+2BB2A	𫬪	linlin
U+2BB2B	𫬫	jikou
U+2BB2C	𫬬	kouji
U+2BB2D	𫬭	kouxia
U+2BB2E	𫬮	wusui
U+2BB2F	𫬯	gushi
U+2BB30	𫬰	kouxiang
U+2BB31	𫬱	koumai
U+2BB32	𫬲	kouhu
U+2BB33	𫬳	hehe
U+2BB34	𫬴	linkou
U+2BB35	𫬵	kouji
U+2BB36	𫬶	koulie
U+2BB37	𫬷	kouqi
U+2BB38	𫬸	xifu
U+2BB39	𫬹	kouxi
U+2BB3A	𫬺	koujing
U+2BB3B	𫬻	koujue
U+2BB3C	𫬼	kouchu
U+2BB3D	𫬽	lvluan
U+2BB3E	𫬾	koutie
U+2BB3F	𫬿	kouying
U+2BB40	𫭀	koujian
U+2BB41	𫭁	kouli
U+2BB42	𫭂	koushi
U+2BB43	𫭃	kouyin
U+2BB44	𫭄	yibi
U+2BB45	𫭅	kousi
U+2BB46	𫭆	kouwei
U+2BB47	𫭇	koucun
U+2BB48	𫭈	kouxun
U+2BB49	𫭉	kouhan
U+2BB4A	𫭊	kouhong
U+2BB4B	𫭋	kouzhi
U+2BB4C	𫭌	kouyu
U+2BB4D	𫭍	kouyang
U+2BB4E	𫭎	kouyu
U+2BB4F	𫭏	kouyin
U+2BB50	𫭐	huilv
U+2BB51	𫭑	koumai
U+2BB52	𫭒	koujiong
U+2BB53	𫭓	kouzhou
U+2BB54	𫭔	guoruo
U+2BB55	𫭕	lunyuan
U+2BB56	𫭖	tuyi
U+2BB57	𫭗	tuba
U+2BB58	𫭘	tuer
U+2BB59	𫭙	tukou
U+2BB5A	𫭚	tuxiao
U+2BB5B	𫭛	tutian
U+2BB5C	𫭜	tusa
U+2BB5D	𫭝	tufu
U+2BB5E	𫭞	tuzhuan
U+2BB5F	𫭟	tuqu
U+2BB60	𫭠	zhitu
